項次,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
品牌名稱,pchome,屈臣氏 Watsons Taiwan,QueenShop,愛上新鮮,博客來,citiesocial,FM SHOES時尚美鞋,Marais 瑪黑家居選物,東森購物,Robinmay,KKday,L.Erickson,皇冠THERMOS,法國在台協會,天下網路書店,POYA寶雅,大魯閣 TAROKO SPORTS,味全龍,大漢酵素,雀巢多趣酷思,阿嬤的配方,薇佳swissvita,芳茲生技,蟬說生活,伊聖詩芳療生活館,DRWU,聯合數位文創,Molex 莫仕,NET,NUV,allyoung Taiwan
Bot ID,481,2964,127,356,546,2679,397,2857,36,3064,47,380,2779,4127,1019,1411,3379,1534,3901,635,3405,60,,2755,1342,4060,3135,3728,204,515,60
Org ID,504,3521,138,369,589,3112,411,3363,30,3663,52,397,3252,5190,276,1732,4112,1900,4884,689,4158,,,3216,1639,5120,3754,4683,225,552,23
品牌現有標籤總數,5544,452,2341,69,347,502,659,950,1372,627,287,203,1422,73,280,340,615,615,136,940,155,323,,139,13275,0,380,69,273,167,244
品牌平均每月播推次數,54,15,30,27,33,69,29,20,25,14,18,4,12,0,13,32,4,4,0,19,3,21,,1,9,0,2,1,50,53,
品牌平均每次推播客戶數,313649,286394,53527,19658,144937,22993,33034,17876,2897,88857,44749,29931,41377,0,8262,60237,15647,77861,,30448,7982,81011,,21402,66401,,40806,68,39079,7455,
品牌有效好友數,"2,127,791","2,384,577","1,071,276","148,684","825,122","55,158","230,794","106,511",1340513,328884,720443,60268,95019,17,10296,1738439,104328,76907,4177,96132,13643,532247,,21423,73588,41270,72329,84,631842,"418,683",
品牌標籤列表,,0509-GrabCoupon,Ａ,LINE發文,0301-0303_150E領券提醒,0115緯來直播加好友,,0118推播_lesis,Switch,0324-0329領取折扣碼標籤,ㄊㄞˊㄅㄟˇ,點擊,000點,area_Central,0520test,0,10月生日,0622過卡推播,cybz_0418未綁定line,Ｊ＋1M_會員權益,"11m,4",0110SMS,,BNI,12月,,[2022咒術迴戰展],[,0101 L1-3,0101 L1-1,倍鮮葉黃素/蝦紅素
,10524推播24力,0511-GrabCoupon,0101-0407活耀會員,test,0301美妝保養品類日,04ai6 deleted_at 2024-06-25 10:04:46,ｎ,0118推播_LOUVINI PARIS,保養,1007-A/B test-A帶商品價格,0727_香港0元機票,領綁定優惠,0412推播_領取EC折扣碼,area_East,108課綱,02檔-277綁定成功,11月生日,0916會員過卡_補發,cybz_1006第一次推播,Ｊ＋1M_膠囊回收,11月LAP廣告_加好友領$50,0125已推過,,checkin－夕陽漫漫,190101至220430約翰森林,,[2022咒術迴戰展]_出口問卷,[Action] Clicked Molex Article,0101 L2-3,0101 L2-1,15周年禮盒
,1124omni,0531new_,0101_2000,上班族,0304_150E,1128 直播通知訂閱,0304加入,0118推播_maison M,&MORE,123,0801test,領取免運券,0414點擊維尼圖文選單連結,area_North,1220test,0312台中金典(MALL店),12月生日,1009_抽血活動,cybz_60天未成立/曾經EC下單,Ｊ＋1M_關於我們,11月LAP廣告_孕婦足貼,225,,checkin－山中靜靜,190101至220431約翰森林,,2022月主題_幸運女神獎,[Action] Click Molex Article,0107 L1-2,0108 L1-2,【活動】團購
,16brand,1more1,0325_早上核心客,下酒 deleted_at 2024-06-28 06:19:16,511,2023-0415-0422-加入好友(無訂閱開賣通知),0418簽到,0118推播_Me30,-6wj/6,2022Halloween1029-1031,10週年活動,領取七夕免運券,0420FB直播導流,area_OffshoreIslands,2000大,0313吉安建國,17歲以下,10月壽星,cybz_BD_一月壽星,Ｊ＋1M_關於我們_retail,11月LAP廣告_腳跟龜裂,0308SMS,,checkin─溪頭,190101至220432約翰森林,,[2022潮鞋特展],[Action] Click Molex Site,0107 L2-2,0108 L2-2,薇佳微晶3D全能化妝水
,17,2023_互動貼文,0401-0405LINE好友獨享,下酒 deleted_at 2024-07-17 08:47:24,0519人氣麵食展,2024cny-lottery_折扣碼_2/10,0429懶人包鞋,0118推播_MOISMONT,0219test,2022聖誕節獎項,1223_台北室內景點,領取七夕$100,0423小草作活動加入好友,area_South,2021,03檔-點擊277綁定成功訊息,17歲(含)以下,1126_味全龍封王遊行活動,cybz_BD_七月壽星,20201029_button1,11月LAP廣告_足浴鹽,0318sms,,checkin－霧繞,190101至220433約翰森林,,[2022潮鞋特展]_出口問卷,[Action] Click to Molex Site,0108 L1-1,0115 L1-3,薇佳微晶3D全能眼霜
,17購,2024_cny_luckydraw,0428_1600,下酒 小菜,0521美食保健,2024cny-lottery_折扣碼_2/11,0430休閒拖鞋,0118推播_新春活動,0723 test,2022萬聖節轉盤折價券,2023線上旅展,非髮圈髮飾,0424小草作實體活動,btn_Administratif deleted_at 2024-08-26 09:40:51,20210502,04檔-點擊277綁定成功訊息,18~24歲,11月壽星,cybz_BD_三月壽星,20201029_button2,11月LAP廣告_足貼,0510SMS,,checkin－霧語,190101至220434約翰森林,,[2022鬼太郎],[Action] Click to Molex Youtube,0108 L2-1,0115 L2-3,品牌旗艦館
,1l3ru04,2024P1-line_拉霸_中獎領取,0512_0513點擊,主廚 deleted_at 2024-06-28 06:18:44,0607_MD1-2級,2024cny-lottery_折扣碼_2/12,0430休閒涼鞋,0120推播：veja,0731test,2022雙11綁定優惠券,38女王節活動,身份：新好友_202203,0513熟客系統_點擊A8連結,btn_Business,2024CWEF夏季場加入LINE,0519new-【超人媽媽大富翁】門市取貨$199免運券,18-24歲,123,cybz_BD_九月壽星,20210202_口味推薦_卡布奇諾,2311_LAP加好友,0512SMS,,eatgether,190101至220435約翰森林,,[2022鬼太郎]_展後問卷,[Action] Click to Virtual Show Room,0114 L1-3,0326 L1-1,【品牌】六月初一
AI點評範例,1級210601-220308,2024P1-line_拉霸抽點數,0512-0513點擊,健身,0731test,2024cny-lottery_折扣碼_2/13,0501襪套氣墊鞋,0129收心紅包,0801-0331_加入會員_無標籤,20230120-0123 好運籤導流,APP下載（autopush）,身份：已綁定,0513熟客系統_點擊南西連結,btn_Business deleted_at 2024-08-26 09:41:24,2024閱讀日回饋,0519new-【超人媽媽大富翁】門市取貨199免運券,1月生日,12月壽星,cybz_BD_二月壽星,20210202_口味推薦_官網,23冬季_活動開跑,0514SMS,,FB廣告－499優惠,190101至220436約翰森林,,202309_再行銷_哆啦A夢展,[Action] Contact Sales,0114 L2-3,0326 L2-1,aevéop純素植物護手霜
https://docs.google.com/document/d/1957OPXD_Y8FYoyLPbrIPOafrvzkY8xEyofjVqu5Zl0I/edit?usp=sharing,1級211101221008,230420_互動_口眾解禁,0512與0513點擊,優惠,0816_核心折價券,2024cny-lottery_折扣碼_2/14,0502微笑帆布鞋,0320hai,0801-0616_加入會員_無標籤,20230224-0301 RM骰骰大富翁導流,APP下載（autoreply）,自媒體綁定,0513熟客系統_點擊台中連結,btn_CivilStatus,618,0526RFM分享給好友,2023M10_保齡在地回饋_印刷品,15-18歲,cybz_BD_五月壽星,20210202_口味推薦_巧克力歐蕾,25歲（含）以下,0522SMS,,fb廣告－999優惠,190101至220437約翰森林,,202309月主題,[Action] Sharing Posts,0115 L1-2,0402 L1-2,【活動】振興券
,1級211107 221105,230420_互動_口罩解禁,513,加入好友,0816_流失折價券,2024cny-lottery_折扣碼_2/15,0502花布拖鞋,0429-連假1500折150券,1101-1115加入,20230330-0406 拉霸遊戲,APP下載（menu）,線下_立牌_加LINE好友綁定_台中斐瑟,0513熟客系統_點擊大有連結,btn_Education,618旅程,0902綁定快問快答,2023M10_保齡在地回饋_土城,15歲以下,cybz_BD_八月壽星,20210202_口味推薦_經典濃郁,26~30歲,0607SMS,,FB廣告－夕陽漫漫,190101至220438約翰森林,,202309月主題_再行銷_摩登紳士,[Action] 參與 2024 Automotive Roadshow 即時問答,0115 L2-2,0402 L2-2,精油類
,1級211207221206,230420_互動_口罩解禁_DEMO,0520暫標,吳秉承,1101輪盤,2024cny-lottery_折扣碼_2/16,0503氣墊懶人鞋,0429-連假免運折扣碼,1111第一,20230330-0406 遊戲分享加入,APP下載（message）,線下_立牌_加LINE好友綁定_台中 ture yoga,0513熟客系統_點擊左新連結,btn_Education deleted_at 2024-08-26 09:41:20,AI,0905test,2023M10_保齡在地回饋_巨城,19-22歲,cybz_BD_六月壽星,20210209_佳節問候_即刻購買,31~35歲,0610SMS,,fb廣告－平日優惠,190101至220439約翰森林,,202309月主題_再行銷_摩登紳士_好友分享,[Action] 參與 2024 Automotive Roadshow 問卷,0121 L1-1,0409 L1-3,aevéop純素植物乳液
,1級互動211106221105,230420_互動_口罩解禁_HF,0522暫篩,品牌專館,1105輪盤,2024cny-lottery_折扣碼_2/17,0504涼感彈簧鞋,0518-BV休閒椅,1111第二,20230617-0716轉盤遊戲,APP下載（welcome）,線下_立牌_加LINE好友綁定_台中 Korewa,0513熟客系統_點擊站前連結,btn_Event_Business,app,2024_聯名卡,2023M10_保齡在地回饋_新時代,1位小孩,cybz_BD_十一月壽星,20210209_佳節問候_官網,36~40歲,0611SMS,,LINE私域,190101至220440約翰森林,,202309月主題_再行銷_樋口裕子,[Action] 參與 2024 Sept. Roadshow 問卷,0121 L2-1,0409 L2-3,aevéop純素植物保養油
